"Token Address","Token Name","Token Creator","Platform","Buy Amount BNB","Sell Amount BNB","Token Amount","Buy Price BNB","Buy Price USD","Sell Price BNB","Sell Price USD","Max Price Reached BNB","Max Price Reached USD","Profit/Loss BNB","Profit/Loss USD","Price Change %","Max Price Change %","Time to Max Price (seconds)","Buy Time","Sell Time","Max Price Time","Buy Tx Hash","Sell Tx Hash","User ID","Wallet Address"
"0x5526c92f67d95aa6db15326b1093352a784c4444","Unknown","Unknown","four.meme","0.00100000","","21724.90","0.00000005","0.0000","","","0.00000005","0.0000","","","0.00","0.00","","2025-10-02T15:49:30.913Z","","","","","7382909314","0x50d1C20D42e4535123Ff3a8889Cbc2a7A1397F45"
"0x5526c92f67d95aa6db15326b1093352a784c4444","Unknown","Unknown","four.meme","0.00100000","","21724.90","0.00000005","0.0000","","","0.00000005","0.0000","","","0.00","0.00","","2025-10-02T15:49:30.913Z","","","","","7382909314","0x50d1C20D42e4535123Ff3a8889Cbc2a7A1397F45"
"0x5526c92f67d95aa6db15326b1093352a784c4444","Unknown","Unknown","","","","","","","","","0.00000005","0.0000","","","","0.12","3","","","2025-10-02T15:49:34.180Z","","","7382909314","0x50d1c20d42e4535123ff3a8889cbc2a7a1397f45"
"0x5526c92f67d95aa6db15326b1093352a784c4444","Unknown","Unknown","","","","","","","","","0.00000005","0.0000","","","","2.38","7","","","2025-10-02T15:49:37.668Z","","","7382909314","0x50d1c20d42e4535123ff3a8889cbc2a7a1397f45"
"0x5526c92f67d95aa6db15326b1093352a784c4444","Unknown","Unknown","four.meme","0.00100000","","21220.35","0.00000005","0.0000","","","0.00000005","0.0000","","","0.00","0.00","","2025-10-02T15:49:38.147Z","","","","","7382909314","0x50d1C20D42e4535123Ff3a8889Cbc2a7A1397F45"
"0x5526c92f67d95aa6db15326b1093352a784c4444","Unknown","Unknown","","","","","","","","","0.00000005","0.0001","","","","3.82","10","","","2025-10-02T15:49:40.682Z","","","7382909314","0x50d1c20d42e4535123ff3a8889cbc2a7a1397f45"
"0x5526c92f67d95aa6db15326b1093352a784c4444","Unknown","Unknown","","","","","","","","","0.00000005","0.0001","","","","16.23","13","","","2025-10-02T15:49:44.237Z","","","7382909314","0x50d1c20d42e4535123ff3a8889cbc2a7a1397f45"
"0x5526c92f67d95aa6db15326b1093352a784c4444","Unknown","Unknown","","","","","","","","","0.00000006","0.0001","","","","21.12","17","","","2025-10-02T15:49:47.711Z","","","7382909314","0x50d1c20d42e4535123ff3a8889cbc2a7a1397f45"
"0x5526c92f67d95aa6db15326b1093352a784c4444","Unknown","Unknown","","","","","","","","","0.00000006","0.0001","","","","26.21","20","","","2025-10-02T15:49:51.184Z","","","7382909314","0x50d1c20d42e4535123ff3a8889cbc2a7a1397f45"
"0x5526c92f67d95aa6db15326b1093352a784c4444","Unknown","Unknown","","","","","","","","","0.00000006","0.0001","","","","28.76","23","","","2025-10-02T15:49:54.192Z","","","7382909314","0x50d1c20d42e4535123ff3a8889cbc2a7a1397f45"
